priority,split,v2_path,image,label,annotations,max_box_area,max_box_width,max_box_height,review_reason,review_status,review_note
0,train,train/images/806329c29d3aee5d41eb_jpg.rf.0f8b0077e60ddb3733796e560af313a9.jpg,work/v2-frozen-export-20260902/train/images/806329c29d3aee5d41eb_jpg.rf.0f8b0077e60ddb3733796e560af313a9.jpg,work/v2-frozen-export-20260902/train/labels/806329c29d3aee5d41eb_jpg.rf.0f8b0077e60ddb3733796e560af313a9.txt,1,0.375242,0.879687,0.426563,low_annotation_count|large_box_area|stack_scale_box,overview_policy_consistent,overview policy check passed; retain for full-resolution correction QA
0,train,train/images/9590ceca8ca176d0d246_jpg.rf.13c0f797a046fd5c4bea5a1d8ec4191a.jpg,work/v2-frozen-export-20260902/train/images/9590ceca8ca176d0d246_jpg.rf.13c0f797a046fd5c4bea5a1d8ec4191a.jpg,work/v2-frozen-export-20260902/train/labels/9590ceca8ca176d0d246_jpg.rf.13c0f797a046fd5c4bea5a1d8ec4191a.txt,1,0.320684,0.657813,0.487500,low_annotation_count|large_box_area|stack_scale_box,overview_policy_consistent,overview policy check passed; retain for full-resolution correction QA
0,train,train/images/WhatsApp-Image-2026-07-03-at-12-01-09-PM-1-_jpeg.rf.017f9c737b9772257cc3759b29db235a.jpg,work/v2-frozen-export-20260902/train/images/WhatsApp-Image-2026-07-03-at-12-01-09-PM-1-_jpeg.rf.017f9c737b9772257cc3759b29db235a.jpg,work/v2-frozen-export-20260902/train/labels/WhatsApp-Image-2026-07-03-at-12-01-09-PM-1-_jpeg.rf.017f9c737b9772257cc3759b29db235a.txt,1,0.317287,0.858621,0.369531,low_annotation_count|large_box_area|stack_scale_box,overview_policy_consistent,overview policy check passed; retain for full-resolution correction QA
0,train,train/images/c1e45bba99bea2933155_jpg.rf.db609a060acab52c9682a61df8deb874.jpg,work/v2-frozen-export-20260902/train/images/c1e45bba99bea2933155_jpg.rf.db609a060acab52c9682a61df8deb874.jpg,work/v2-frozen-export-20260902/train/labels/c1e45bba99bea2933155_jpg.rf.db609a060acab52c9682a61df8deb874.txt,1,0.349878,0.398438,0.878125,low_annotation_count|large_box_area|stack_scale_box,overview_policy_consistent,overview policy check passed; retain for full-resolution correction QA
0,train,train/images/dd102925d9227b62b3cb_jpg.rf.6246c42c55660a80e97b3d071cc2befa.jpg,work/v2-frozen-export-20260902/train/images/dd102925d9227b62b3cb_jpg.rf.6246c42c55660a80e97b3d071cc2befa.jpg,work/v2-frozen-export-20260902/train/labels/dd102925d9227b62b3cb_jpg.rf.6246c42c55660a80e97b3d071cc2befa.txt,1,0.464385,0.818750,0.567187,low_annotation_count|large_box_area|stack_scale_box,overview_policy_consistent,overview policy check passed; retain for full-resolution correction QA
0,train,train/images/e145a7c762d70711c7be_jpg.rf.74d494242a3acc83d2579be9d307ac51.jpg,work/v2-frozen-export-20260902/train/images/e145a7c762d70711c7be_jpg.rf.74d494242a3acc83d2579be9d307ac51.jpg,work/v2-frozen-export-20260902/train/labels/e145a7c762d70711c7be_jpg.rf.74d494242a3acc83d2579be9d307ac51.txt,1,0.189786,0.601933,0.315294,low_annotation_count|large_box_area|stack_scale_box,overview_policy_consistent,overview policy check passed; retain for full-resolution correction QA
0,valid,valid/images/4cd1abed9a60a4c45bac_jpg.rf.d4305b8fda86ad8fbfc32e6faa879c42.jpg,work/v2-frozen-export-20260902/valid/images/4cd1abed9a60a4c45bac_jpg.rf.d4305b8fda86ad8fbfc32e6faa879c42.jpg,work/v2-frozen-export-20260902/valid/labels/4cd1abed9a60a4c45bac_jpg.rf.d4305b8fda86ad8fbfc32e6faa879c42.txt,1,0.218369,0.629199,0.347059,low_annotation_count|large_box_area|stack_scale_box,overview_policy_consistent,overview policy check passed; retain for full-resolution correction QA
0,valid,valid/images/609a1fa6603c84fd608f_jpg.rf.377bc342d0c4d4eb062fbb64e2dc9623.jpg,work/v2-frozen-export-20260902/valid/images/609a1fa6603c84fd608f_jpg.rf.377bc342d0c4d4eb062fbb64e2dc9623.jpg,work/v2-frozen-export-20260902/valid/labels/609a1fa6603c84fd608f_jpg.rf.377bc342d0c4d4eb062fbb64e2dc9623.txt,1,0.523767,0.835938,0.626563,low_annotation_count|large_box_area|stack_scale_box,overview_policy_consistent,overview policy check passed; retain for full-resolution correction QA
0,valid,valid/images/WhatsApp-Image-2026-07-03-at-11-57-05-AM_jpeg.rf.bd6ada60f52f975040028028bb6784b7.jpg,work/v2-frozen-export-20260902/valid/images/WhatsApp-Image-2026-07-03-at-11-57-05-AM_jpeg.rf.bd6ada60f52f975040028028bb6784b7.jpg,work/v2-frozen-export-20260902/valid/labels/WhatsApp-Image-2026-07-03-at-11-57-05-AM_jpeg.rf.bd6ada60f52f975040028028bb6784b7.txt,2,0.560483,0.999375,0.560833,low_annotation_count|large_box_area|stack_scale_box,needs_manual_relabel,"wrong_or_mixed_annotation_unit, false/background box, or severe missing/duplicate coverage visible in review sheet"
0,train,train/images/140927627abaed6bc683_jpg.rf.87777a54aeebb87e349e011147c650cf.jpg,work/v2-frozen-export-20260902/train/images/140927627abaed6bc683_jpg.rf.87777a54aeebb87e349e011147c650cf.jpg,work/v2-frozen-export-20260902/train/labels/140927627abaed6bc683_jpg.rf.87777a54aeebb87e349e011147c650cf.txt,3,0.434390,0.776563,0.559375,low_annotation_count|large_box_area|stack_scale_box,overview_policy_consistent,overview policy check passed; retain for full-resolution correction QA
0,train,train/images/WhatsApp-Image-2026-07-03-at-11-57-47-AM_jpeg.rf.0322dfead7eae87aacfd568df093e15f.jpg,work/v2-frozen-export-20260902/train/images/WhatsApp-Image-2026-07-03-at-11-57-47-AM_jpeg.rf.0322dfead7eae87aacfd568df093e15f.jpg,work/v2-frozen-export-20260902/train/labels/WhatsApp-Image-2026-07-03-at-11-57-47-AM_jpeg.rf.0322dfead7eae87aacfd568df093e15f.txt,3,0.257215,0.934375,0.275833,low_annotation_count|large_box_area|stack_scale_box,overview_policy_consistent,overview policy check passed; retain for full-resolution correction QA
0,train,train/images/a3d560ec5fa32afe89ac_jpg.rf.e42b8972d416f2f3d43282eae01d3b54.jpg,work/v2-frozen-export-20260902/train/images/a3d560ec5fa32afe89ac_jpg.rf.e42b8972d416f2f3d43282eae01d3b54.jpg,work/v2-frozen-export-20260902/train/labels/a3d560ec5fa32afe89ac_jpg.rf.e42b8972d416f2f3d43282eae01d3b54.txt,3,0.538506,0.632812,0.870313,low_annotation_count|large_box_area|stack_scale_box,overview_policy_consistent,overview policy check passed; retain for full-resolution correction QA
0,valid,valid/images/0ed3cb7f3aa5427610af_jpg.rf.ffe412dceea1720a8e55ac13f28be2f1.jpg,work/v2-frozen-export-20260902/valid/images/0ed3cb7f3aa5427610af_jpg.rf.ffe412dceea1720a8e55ac13f28be2f1.jpg,work/v2-frozen-export-20260902/valid/labels/0ed3cb7f3aa5427610af_jpg.rf.ffe412dceea1720a8e55ac13f28be2f1.txt,4,0.208291,0.432812,0.481250,low_annotation_count|large_box_area|stack_scale_box,needs_manual_relabel,"wrong_or_mixed_annotation_unit, false/background box, or severe missing/duplicate coverage visible in review sheet"
0,train,train/images/74c1c55c022a4b7dd1f6_jpeg.rf.3dba54472a88cfb452b5e6797fee0a98.jpg,work/v2-frozen-export-20260902/train/images/74c1c55c022a4b7dd1f6_jpeg.rf.3dba54472a88cfb452b5e6797fee0a98.jpg,work/v2-frozen-export-20260902/train/labels/74c1c55c022a4b7dd1f6_jpeg.rf.3dba54472a88cfb452b5e6797fee0a98.txt,5,0.117688,0.896667,0.131250,low_annotation_count|stack_scale_box,overview_policy_consistent,overview policy check passed; retain for full-resolution correction QA
0,train,train/images/f32b812dd65d0c12b803_jpg.rf.deb8e3d5304c0e583d049f75f252824f.jpg,work/v2-frozen-export-20260902/train/images/f32b812dd65d0c12b803_jpg.rf.deb8e3d5304c0e583d049f75f252824f.jpg,work/v2-frozen-export-20260902/train/labels/f32b812dd65d0c12b803_jpg.rf.deb8e3d5304c0e583d049f75f252824f.txt,6,0.393481,0.709375,0.554688,large_box_area|stack_scale_box,overview_policy_consistent,overview policy check passed; retain for full-resolution correction QA
0,train,train/images/3b3ed50fdc6b4236e467_jpeg.rf.080d395aa3fef0f912243a73d0887528.jpg,work/v2-frozen-export-20260902/train/images/3b3ed50fdc6b4236e467_jpeg.rf.080d395aa3fef0f912243a73d0887528.jpg,work/v2-frozen-export-20260902/train/labels/3b3ed50fdc6b4236e467_jpeg.rf.080d395aa3fef0f912243a73d0887528.txt,8,0.124400,0.941667,0.160000,large_box_area|stack_scale_box,overview_policy_consistent,overview policy check passed; retain for full-resolution correction QA
0,train,train/images/WhatsApp-Image-2026-07-03-at-11-57-52-AM-1-_jpeg.rf.fb749cebf393750e0f8bf7a0d108affe.jpg,work/v2-frozen-export-20260902/train/images/WhatsApp-Image-2026-07-03-at-11-57-52-AM-1-_jpeg.rf.fb749cebf393750e0f8bf7a0d108affe.jpg,work/v2-frozen-export-20260902/train/labels/WhatsApp-Image-2026-07-03-at-11-57-52-AM-1-_jpeg.rf.fb749cebf393750e0f8bf7a0d108affe.txt,8,0.082813,0.662500,0.125000,stack_scale_box,overview_policy_consistent,overview policy check passed; retain for full-resolution correction QA
0,train,train/images/cf562ce0f6a3d606204a_jpg.rf.67622074828e336eaa4a6ac19985aeb1.jpg,work/v2-frozen-export-20260902/train/images/cf562ce0f6a3d606204a_jpg.rf.67622074828e336eaa4a6ac19985aeb1.jpg,work/v2-frozen-export-20260902/train/labels/cf562ce0f6a3d606204a_jpg.rf.67622074828e336eaa4a6ac19985aeb1.txt,10,0.332725,0.865625,0.384375,large_box_area|stack_scale_box,needs_manual_relabel,"wrong_or_mixed_annotation_unit, false/background box, or severe missing/duplicate coverage visible in review sheet"
0,valid,valid/images/dc2db98845872b41b4b9_jpg.rf.7d7891a467f9d34d5162571d01623fd8.jpg,work/v2-frozen-export-20260902/valid/images/dc2db98845872b41b4b9_jpg.rf.7d7891a467f9d34d5162571d01623fd8.jpg,work/v2-frozen-export-20260902/valid/labels/dc2db98845872b41b4b9_jpg.rf.7d7891a467f9d34d5162571d01623fd8.txt,10,0.136719,0.875000,0.273438,large_box_area|stack_scale_box,needs_manual_relabel,"wrong_or_mixed_annotation_unit, false/background box, or severe missing/duplicate coverage visible in review sheet"
0,valid,valid/images/fc31b5da0c395f550cde_jpg.rf.ff5a8a733d19a1ce84db57467d29003f.jpg,work/v2-frozen-export-20260902/valid/images/fc31b5da0c395f550cde_jpg.rf.ff5a8a733d19a1ce84db57467d29003f.jpg,work/v2-frozen-export-20260902/valid/labels/fc31b5da0c395f550cde_jpg.rf.ff5a8a733d19a1ce84db57467d29003f.txt,11,0.282283,0.692187,0.651563,large_box_area|stack_scale_box,needs_manual_relabel,"wrong_or_mixed_annotation_unit, false/background box, or severe missing/duplicate coverage visible in review sheet"
0,train,train/images/7c8a50fe5901742805a6_jpg.rf.cefa4fbf47632ca81dc5a1fc00ac4a74.jpg,work/v2-frozen-export-20260902/train/images/7c8a50fe5901742805a6_jpg.rf.cefa4fbf47632ca81dc5a1fc00ac4a74.jpg,work/v2-frozen-export-20260902/train/labels/7c8a50fe5901742805a6_jpg.rf.cefa4fbf47632ca81dc5a1fc00ac4a74.txt,14,0.167463,0.409375,0.471875,large_box_area|stack_scale_box,needs_manual_relabel,"wrong_or_mixed_annotation_unit, false/background box, or severe missing/duplicate coverage visible in review sheet"
0,train,train/images/2721453227aa78d464f0_jpg.rf.3156acf0d44079f39f1c33db9ca08ae8.jpg,work/v2-frozen-export-20260902/train/images/2721453227aa78d464f0_jpg.rf.3156acf0d44079f39f1c33db9ca08ae8.jpg,work/v2-frozen-export-20260902/train/labels/2721453227aa78d464f0_jpg.rf.3156acf0d44079f39f1c33db9ca08ae8.txt,16,0.340171,0.934375,0.364063,large_box_area|stack_scale_box,needs_manual_relabel,"wrong_or_mixed_annotation_unit, false/background box, or severe missing/duplicate coverage visible in review sheet"
0,valid,valid/images/WhatsApp-Image-2026-07-03-at-12-03-16-PM-2-_jpeg.rf.6e9d5863f8a0d30746815713deea50b4.jpg,work/v2-frozen-export-20260902/valid/images/WhatsApp-Image-2026-07-03-at-12-03-16-PM-2-_jpeg.rf.6e9d5863f8a0d30746815713deea50b4.jpg,work/v2-frozen-export-20260902/valid/labels/WhatsApp-Image-2026-07-03-at-12-03-16-PM-2-_jpeg.rf.6e9d5863f8a0d30746815713deea50b4.txt,19,0.105461,0.721875,0.146094,stack_scale_box,needs_manual_relabel,"wrong_or_mixed_annotation_unit, false/background box, or severe missing/duplicate coverage visible in review sheet"
