canonical_image_id,local_path,roboflow_path,sha256,perceptual_hash,duplicate_type,local_annotation_count,roboflow_annotation_count,annotation_agreement,review_status,selected_source,reason
16685e90ac8c0dd5b226,C:\Users\dharani\Downloads\Egg-Tray-Counter.yolov8 (1)\train\images\WhatsApp Image 2026-07-03 at 11-57-01 (1)_jpeg.rf.zfgb9sOl0mnr43kwwiq3.jpeg,C:\Users\dharani\Documents\Codex\2026-08-20\roboflow-plugin-roboflow-roboflow-build-a\outputs\egg-tray-counter\datasets\roboflow_auto_original\test\images\WhatsApp-Image-2026-07-03-at-11-57-01-AM-1-_jpeg.rf.b412415bcd25a75a2fd1e08cbc0138e3.jpg,16685e90ac8c0dd5b226c795dce371fb1961d894f0538a61dc12ad4e87da0eff,0f3e2030323242d9,near_duplicate,141,0,0.0,queued,manual_original,manual annotation selected over overlapping auto annotation
a967185b72a76fe4f4ed,C:\Users\dharani\Downloads\Egg-Tray-Counter.yolov8 (1)\train\images\WhatsApp Image 2026-07-03 at 11-57-02_jpeg.rf.iDwMoXHipeFP0XIO0k3Y.jpeg,C:\Users\dharani\Documents\Codex\2026-08-20\roboflow-plugin-roboflow-roboflow-build-a\outputs\egg-tray-counter\datasets\roboflow_auto_original\train\images\WhatsApp-Image-2026-07-03-at-11-57-02-AM_jpeg.rf.a35d8d40d787c10ab1d8aeb5ab0db01c.jpg,a967185b72a76fe4f4edbb338fe7455117aa84d1af5fc9bfa387028958476201,4f4658d9d9d9de5a,near_duplicate,52,5,0.0,queued,manual_original,manual annotation selected over overlapping auto annotation
7321fbf57a2a59fbe92f,C:\Users\dharani\Downloads\Egg-Tray-Counter.yolov8 (1)\train\images\WhatsApp Image 2026-07-03 at 11-57-05_jpeg.rf.mA0MoR3CdrGRxjr4gNAE.jpeg,C:\Users\dharani\Documents\Codex\2026-08-20\roboflow-plugin-roboflow-roboflow-build-a\outputs\egg-tray-counter\datasets\roboflow_auto_original\valid\images\WhatsApp-Image-2026-07-03-at-11-57-05-AM_jpeg.rf.c6244967a8918c9a3097fcb6c7d2e304.jpg,7321fbf57a2a59fbe92f23fe897888110724355c203236897a22a490395d9571,73434a45434b4fef,near_duplicate,2,0,0.0,queued,manual_original,manual annotation selected over overlapping auto annotation
8cf21842b7f726424ebf,C:\Users\dharani\Downloads\Egg-Tray-Counter.yolov8 (1)\train\images\WhatsApp Image 2026-07-03 at 11-57-09 (1)_jpeg.rf.kIbm1ucsw1tEPHAe06LH.jpeg,C:\Users\dharani\Documents\Codex\2026-08-20\roboflow-plugin-roboflow-roboflow-build-a\outputs\egg-tray-counter\datasets\roboflow_auto_original\valid\images\WhatsApp-Image-2026-07-03-at-11-57-09-AM-1-_jpeg.rf.ab29e9a8e40ef29d2ea5dbff0e3a7822.jpg,8cf21842b7f726424ebf35580487766b800b9fd914cf80bb5d6bbb1b55b463b2,8a8adbeaeafafefb,near_duplicate,105,0,0.0,queued,manual_original,manual annotation selected over overlapping auto annotation
5fcf798347401b5f7d9a,C:\Users\dharani\Downloads\Egg-Tray-Counter.yolov8 (1)\train\images\WhatsApp Image 2026-07-03 at 11-57-10_jpeg.rf.zcyr7dezW2QA2amfwZ3n.jpeg,C:\Users\dharani\Documents\Codex\2026-08-20\roboflow-plugin-roboflow-roboflow-build-a\outputs\egg-tray-counter\datasets\roboflow_auto_original\train\images\WhatsApp-Image-2026-07-03-at-11-57-10-AM_jpeg.rf.8f0fe886b76278f1e8871e5045f7e1ea.jpg,5fcf798347401b5f7d9a1a68979a8979c35f04f0b29c4a1759d65bc92e76b748,7f2f2969658dadac,near_duplicate,39,0,0.0,queued,manual_original,manual annotation selected over overlapping auto annotation
f2d1c674f52306c0318a,C:\Users\dharani\Downloads\Egg-Tray-Counter.yolov8 (1)\train\images\WhatsApp Image 2026-07-03 at 11-57-16_jpeg.rf.kUCiyTYUG3iZOE6kjeKe.jpeg,C:\Users\dharani\Documents\Codex\2026-08-20\roboflow-plugin-roboflow-roboflow-build-a\outputs\egg-tray-counter\datasets\roboflow_auto_original\train\images\WhatsApp-Image-2026-07-03-at-11-57-16-AM_jpeg.rf.d66fe0e2c5061a1873a952d6ef97c239.jpg,f2d1c674f52306c0318ab5057885503ff61db06116c1826ca3a460201da02a4b,0c4c6767e0801c3c,near_duplicate,38,0,0.0,queued,manual_original,manual annotation selected over overlapping auto annotation
fb5bd22bfe8d1b3da171,C:\Users\dharani\Downloads\Egg-Tray-Counter.yolov8 (1)\train\images\WhatsApp Image 2026-07-03 at 11-57-17 (2)_jpeg.rf.iECh2xLEgym5rdfgKB4O.jpeg,C:\Users\dharani\Documents\Codex\2026-08-20\roboflow-plugin-roboflow-roboflow-build-a\outputs\egg-tray-counter\datasets\roboflow_auto_original\train\images\WhatsApp-Image-2026-07-03-at-11-57-17-AM-2-_jpeg.rf.fe19a7979745fdab79ca42f9bb113844.jpg,fb5bd22bfe8d1b3da1714ad9f1ef9f90330d562d6bd499bb6005446886506e66,1313333333362606,near_duplicate,18,0,0.0,queued,manual_original,manual annotation selected over overlapping auto annotation
9aa85d992c70e74dc8c9,C:\Users\dharani\Downloads\Egg-Tray-Counter.yolov8 (1)\train\images\WhatsApp Image 2026-07-03 at 11-57-17_jpeg.rf.yYtOeoLmvxh5siz5Ais8.jpeg,C:\Users\dharani\Documents\Codex\2026-08-20\roboflow-plugin-roboflow-roboflow-build-a\outputs\egg-tray-counter\datasets\roboflow_auto_original\test\images\WhatsApp-Image-2026-07-03-at-11-57-17-AM_jpeg.rf.307d9fb9212e290d06232d7e7230224b.jpg,9aa85d992c70e74dc8c90ab1c40854b5b7086e6b2a859632700b98eedaadd4ad,fe1f1e5eda9bdded,near_duplicate,33,0,0.0,queued,manual_original,manual annotation selected over overlapping auto annotation
b7c244ddfb384f38447e,C:\Users\dharani\Downloads\Egg-Tray-Counter.yolov8 (1)\train\images\WhatsApp Image 2026-07-03 at 11-57-18 (1)_jpeg.rf.imm0Utj2EkHrCQx9LTi9.jpeg,C:\Users\dharani\Documents\Codex\2026-08-20\roboflow-plugin-roboflow-roboflow-build-a\outputs\egg-tray-counter\datasets\roboflow_auto_original\valid\images\WhatsApp-Image-2026-07-03-at-11-57-18-AM-1-_jpeg.rf.f2fac7cb7921a5f6ad10083ffa9f137c.jpg,b7c244ddfb384f38447ef5ed7b3b6f21edc00299523061090a1de72ae215d9d8,0b039b999bcb17b8,near_duplicate,10,0,0.0,queued,manual_original,manual annotation selected over overlapping auto annotation
c0787e5dfab960ca1425,C:\Users\dharani\Downloads\Egg-Tray-Counter.yolov8 (1)\train\images\WhatsApp Image 2026-07-03 at 11-57-20 (2)_jpeg.rf.hoHdazht0bBTWPLfo3xW.jpeg,C:\Users\dharani\Documents\Codex\2026-08-20\roboflow-plugin-roboflow-roboflow-build-a\outputs\egg-tray-counter\datasets\roboflow_auto_original\valid\images\WhatsApp-Image-2026-07-03-at-11-57-20-AM-2-_jpeg.rf.7048c50fa506961efb6e18caa5d15b3a.jpg,c0787e5dfab960ca142539c052860a0f8b8e8814b6eb95cc9b6daa03f2c1e1c8,381f0b2929010f0b,near_duplicate,82,0,0.0,queued,manual_original,manual annotation selected over overlapping auto annotation
