id,source,sha256,target_class,annotation_unit,empty_trays,overview_review,full_resolution_review,labeled_visible_count,physical_inventory_gt,physical_gt_status,scene_group,split,training_approved
wh001,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.36.47 AM (1).jpeg,15bd8794cc832730f75675b11a6c7a2283aa1d5fc94604ace80ca7cf4cafa17f,egg_tray,individual_egg_filled_tray_layer,non_target,contact_sheet_triage_only,pending,,,not_verified,green-room-20260907,unassigned_scene_group_must_stay_together,False
wh003,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.38.15 AM.jpeg,781235b77c91279f5f148027e2eae27baa2e1fd8daa2d582c55f45982968dbf3,egg_tray,individual_egg_filled_tray_layer,non_target,contact_sheet_triage_only,pending,,,not_verified,green-room-20260907,unassigned_scene_group_must_stay_together,False
wh004,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.39.37 AM.jpeg,6e5428014c0155e223cd15172b8caaa058165f429490ef7cf5700ac1a99cea2d,egg_tray,individual_egg_filled_tray_layer,non_target,contact_sheet_triage_only,pending,,,not_verified,green-room-20260907,unassigned_scene_group_must_stay_together,False
wh005,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.01 AM.jpeg,5ef35e049cd0d26249830305a9e5d9567fb19c65128ba627d57c0bbaf8b60b36,egg_tray,individual_egg_filled_tray_layer,non_target,contact_sheet_triage_only,pending,,,not_verified,green-room-20260907,unassigned_scene_group_must_stay_together,False
wh006,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.02 AM.jpeg,8516c2beb10cbf085113d4f738b52ee20c85ff2d9cfc5a1f7396025a5ecfaf41,egg_tray,individual_egg_filled_tray_layer,non_target,contact_sheet_triage_only,pending,,,not_verified,green-room-20260907,unassigned_scene_group_must_stay_together,False
wh007,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.03 AM.jpeg,0fd533766d58e6ccb08eb63a77352a6f77f74843fc8753e996013e1c7d360c75,egg_tray,individual_egg_filled_tray_layer,non_target,contact_sheet_triage_only,pending,,,not_verified,green-room-20260907,unassigned_scene_group_must_stay_together,False
wh008,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.31 AM (1).jpeg,97db5d034628895a1e813fc2e4008137c499b68354e549c7986f3380bdb66adf,egg_tray,individual_egg_filled_tray_layer,non_target,contact_sheet_triage_only,pending,,,not_verified,green-room-20260907,unassigned_scene_group_must_stay_together,False
wh009,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.31 AM.jpeg,509b3b6f01e2a6dfef2400582abe7c185f47b3085e45b3c790f09dd07da10b3c,egg_tray,individual_egg_filled_tray_layer,non_target,contact_sheet_triage_only,pending,,,not_verified,green-room-20260907,unassigned_scene_group_must_stay_together,False
wh010,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.33 AM (1).jpeg,9cafbe06cf8b46b969859ee1ae8bbc4a9b55666942feb847a0f42c121fb5cce8,egg_tray,individual_egg_filled_tray_layer,non_target,contact_sheet_triage_only,pending,,,not_verified,green-room-20260907,unassigned_scene_group_must_stay_together,False
wh011,C:\Users\dharani\Downloads\Photos\WhatsApp Image 2026-09-07 at 9.40.33 AM.jpeg,f37d0e84bb2987de35ebdbab2a3df68b8702e4906f7df194cc34b62ebd724ac3,egg_tray,individual_egg_filled_tray_layer,non_target,contact_sheet_triage_only,draft_perspective_bounds_corrected_needs_human_review,7,,not_verified,green-room-20260907,unassigned_scene_group_must_stay_together,False
